state,year,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Nagaland,2016,20.74,1959.8,83.6
Nagaland,2017,20.87,1722.1,83.6
Nagaland,2018,21.18,1372.7,82.2
Nagaland,2019,21.1,1593.0,83.2
Nagaland,2020,21.1,940.3,80.6
Mizoram,1997,20.6,2644.2,88.5
Mizoram,1998,21.17,2640.7,89.2
Mizoram,1999,20.88,2535.9,89.2
Mizoram,2000,20.86,2834.3,88.0
Mizoram,2001,20.89,2406.4,86.6
Mizoram,2002,20.87,2627.0,87.9
Mizoram,2003,21.05,2499.5,87.3
Mizoram,2004,21.07,2640.8,89.2
Mizoram,2005,21.42,2075.4,84.0
Mizoram,2006,20.63,2353.0,87.9
Mizoram,2007,20.59,3095.2,89.1
Mizoram,2008,21.12,1912.1,83.0
Mizoram,2009,21.41,2086.3,86.7
Mizoram,2010,20.95,2738.7,85.0
Mizoram,2011,21.1,2439.3,87.5
Mizoram,2012,21.08,2050.2,85.9
Mizoram,2013,21.48,1848.8,85.7
Mizoram,2014,21.45,2029.9,84.4
Mizoram,2015,21.57,2310.8,86.4
Mizoram,2016,21.22,2626.8,86.6
Mizoram,2017,20.67,3865.8,91.0
Mizoram,2018,21.62,1665.2,86.4
Mizoram,2019,21.19,2178.5,84.2
Mizoram,2020,21.86,1147.1,81.7
Arunachal Pradesh,1997,18.9,2274.9,86.7
Arunachal Pradesh,1998,18.54,3616.7,93.0
Arunachal Pradesh,1999,18.61,2338.6,90.3
Arunachal Pradesh,2000,18.68,2157.7,87.9
Arunachal Pradesh,2001,18.89,2128.5,88.5
Arunachal Pradesh,2002,18.88,2832.8,89.5
Arunachal Pradesh,2003,18.46,2782.2,89.8
Arunachal Pradesh,2004,18.43,2939.5,92.2
Arunachal Pradesh,2005,18.68,2767.0,88.7
Arunachal Pradesh,2006,19.04,1940.0,84.7
Arunachal Pradesh,2007,18.32,3223.9,92.2
Arunachal Pradesh,2008,18.79,2244.4,86.1
Arunachal Pradesh,2009,19.27,1701.9,86.9
Arunachal Pradesh,2010,18.97,2574.1,89.7
Arunachal Pradesh,2011,18.85,2193.7,85.5
Arunachal Pradesh,2012,19.1,2760.7,88.8
Arunachal Pradesh,2013,19.05,2042.9,88.2
Arunachal Pradesh,2014,19.09,2403.2,88.5
Arunachal Pradesh,2015,19.36,2593.2,87.8
Arunachal Pradesh,2016,18.99,2933.7,89.8
Arunachal Pradesh,2017,18.96,2745.5,90.9
Arunachal Pradesh,2018,18.92,2992.9,90.6
Arunachal Pradesh,2019,19.28,2433.3,87.6
Arunachal Pradesh,2020,18.99,2148.3,84.7
Sikkim,1997,16.49,2804.1,85.0
Sikkim,1998,15.9,3183.8,87.3
Sikkim,1999,16.23,2678.5,86.9
Sikkim,2000,16.43,2504.8,84.6
Sikkim,2001,16.3,2372.5,85.1
Sikkim,2002,16.25,2496.2,87.2
Sikkim,2003,16.28,2838.1,87.3
Sikkim,2004,16.81,1650.5,83.7
Sikkim,2005,16.58,2041.6,82.1
Sikkim,2006,16.55,2270.2,83.7
Sikkim,2007,16.49,2003.4,84.2
Sikkim,2008,16.77,2247.5,84.4
Sikkim,2009,16.63,2176.6,86.2
Sikkim,2010,16.5,2527.0,88.5
Sikkim,2011,16.56,2585.5,83.4
Sikkim,2012,16.45,3006.9,87.5
Sikkim,2013,16.75,2567.6,86.3
Sikkim,2014,16.46,2627.0,84.2
Sikkim,2015,16.34,2949.1,85.8
Sikkim,2016,16.28,2971.6,87.6
Sikkim,2017,16.78,2873.6,87.0
Sikkim,2018,16.04,3350.1,88.8
Sikkim,2019,16.78,2740.0,85.4
Sikkim,2020,16.78,2204.7,83.3
Puducherry,1997,28.71,915.1,74.2
Puducherry,1998,28.37,1434.6,75.0
Puducherry,1999,28.71,1434.6,75.1
Puducherry,2000,28.93,1434.6,75.0
Puducherry,2001,28.65,1434.6,76.6
Puducherry,2002,28.34,1434.6,73.4
Puducherry,2003,28.34,1434.6,77.0
Puducherry,2004,28.56,1434.6,78.6
Puducherry,2005,28.57,1434.6,75.7
Puducherry,2006,29.01,1434.6,77.9
Puducherry,2007,29.14,1434.6,77.0
Puducherry,2008,28.95,1434.6,76.2
Puducherry,2009,28.92,1434.6,74.9
Puducherry,2010,28.62,1434.6,75.5
Puducherry,2011,28.77,1434.6,75.0
Puducherry,2012,29.1,1098.3,75.5
Puducherry,2013,29.0,1083.2,76.1
Puducherry,2014,28.68,1330.0,74.9
Puducherry,2015,28.52,1980.6,75.2
Puducherry,2016,28.91,1391.3,75.2
Puducherry,2017,29.17,1582.4,76.8
Puducherry,2018,28.64,1693.9,78.7
Puducherry,2019,29.26,1317.0,75.8
Puducherry,2020,28.95,1045.2,73.7
Delhi,1997,25.6,941.5,57.6
Delhi,1998,25.21,784.5,53.9
Delhi,1999,25.52,365.9,51.7
Delhi,2000,25.51,544.3,54.2
Delhi,2001,25.34,611.9,52.7
Delhi,2002,25.57,593.6,53.9
Delhi,2003,25.1,962.3,52.4
Delhi,2004,25.47,651.9,56.9
Delhi,2005,25.83,653.1,54.2
Delhi,2006,25.47,462.7,54.7
Delhi,2007,25.33,677.5,55.2
Delhi,2008,25.73,614.6,56.1
Delhi,2009,25.61,528.4,54.1
Delhi,2010,25.29,989.5,55.0
Delhi,2011,25.58,641.4,55.2
Delhi,2012,25.9,451.9,53.1
Delhi,2013,25.94,706.8,54.6
Delhi,2014,25.77,416.4,53.1
Delhi,2015,25.17,757.7,56.2
Delhi,2016,25.83,747.1,54.8
Delhi,2017,25.8,533.7,55.0
Delhi,2018,25.44,678.5,54.2
Delhi,2019,25.98,546.9,52.9
Delhi,2020,25.36,1076.4,56.8
